result,a,b,c,d,e,f,g,h,k
1,-0.295235525,-0.112328554,-2.222254927,1.320601614,1.980502126,0.086743847,-0.297044263,-0.955324019,-1.124518668
1,-1.18164534,0.235831153,1.747495141,1.320601614,1.593105047,2.012237274,4.587683616,0.247977724,3.868344219
1,-1.18164534,0.235831153,0.27641097,1.917202857,0.430913811,1.219650444,-0.297044263,0.247977724,0.539768961
1,-1.18164534,0.235831153,0.876617612,-1.100808023,0.527763081,0.822339327,-0.297044263,-0.955324019,0.539768961
1,-0.134326746,0.235831153,-0.133761595,-1.100808023,0.527763081,1.189358824,-0.297044263,-0.955324019,0.539768961
1,1.19165967,-0.112328554,0.73872867,0.061402191,-0.247031076,0.310970127,2.145319676,1.451279468,0.539768961
1,,0.235831153,-0.329910631,-0.783185356,0.81831089,0.085031711,-0.297044263,0.247977724,-1.124518668
1,-0.295235525,0.235831153,2.744972459,0.104569999,1.012009429,1.816000255,2.145319676,1.451279468,0.539768961
1,-1.156676785,0.235831153,1.93497572,0.104569999,1.012009429,1.573810969,2.145319676,1.451279468,0.539768961
1,-0.989089147,0.235831153,-2.222254927,-1.100808023,-1.796619391,-0.812317296,-0.297044263,-0.955324019,-1.124518668
1,-0.134326746,0.235831153,0.460047861,0.268939729,-1.021825234,-0.725903938,-0.297044263,1.451279468,0.539768961
1,0.175737651,-0.112328554,1.110303083,1.334299091,1.302557238,1.751623977,-0.297044263,1.451279468,0.539768961
1,-0.989089147,-0.460488261,1.548322225,0.116745534,-0.150181807,0.56699773,-0.297044263,1.451279468,-1.124518668
1,-0.134326746,0.235831153,-2.222254927,2.524457694,-0.440729616,1.391235112,4.587683616,1.451279468,0.539768961
1,-0.134326746,0.235831153,-2.222254927,-1.100808023,-1.796619391,2.056780512,-0.297044263,-0.955324019,-1.124518668
1,-0.980013387,0.235831153,0.487141829,-1.100808023,0.140366002,1.239353168,-0.297044263,-0.955324019,0.539768961
1,-0.718714373,0.235831153,0.641084826,0.116745534,0.334064542,0.814401246,-0.297044263,-0.955324019,0.539768961
1,-0.821869294,-0.112328554,0.392669442,1.09078838,0.237215272,1.156017247,-0.297044263,-0.955324019,0.539768961
1,-0.821869294,0.235831153,0.825816423,-0.445202262,-0.150181807,-0.55602019,-0.297044263,-0.955324019,0.539768961
,-0.543479898,0.125885982,0.233257596,0.186762974,0.227020612,0.842016334,0.602774031,0.121314383,0.276986704
